Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
pericardite cronica costrittiva,C0265144,aumento della pressione,C1168392
pericardite cronica costrittiva,C0265144,dolore al dorso,C0232118
pericardite cronica costrittiva,C0265144,fegato ingrossato,C0019209
pericardite cronica costrittiva,C0265144,edema - accumulo di liquido,C0013604
pericardite cronica costrittiva,C0265144,dolore alle spalle,C0020532
pericardite cronica costrittiva,C0265144,difficoltà nel respirare,C0231807
pericardite cronica costrittiva,C0265144,palpitazioni,C0232118
infarto,C0027051,"dolore al torace, mancanza di ossigeno",C0002962
infarto,C0027051,debolezza,C3714552
infarto,C0027051,paura,C0003467
infarto,C0027051,sudore,C0038990
infarto,C0027051,nausea,C0027497
infarto,C0027051,vomito,C0042963
infarto,C0027051,tachicardia,C0042514
infarto,C0027051,sensazione di mancamento,C0042510
infarto,C0027051,"vertigini, capogiri e confusione",C0020649
infarto,C0027051,"dolore al torace, mancanza di ossigeno",C0002962
broncopneumopatia cronica ostruttiva,,brividi,
broncopneumopatia cronica ostruttiva,,febbre,
broncopneumopatia cronica ostruttiva,,fiato corto,
broncopneumopatia cronica ostruttiva,,produzione di muco,
broncopneumopatia cronica ostruttiva,,dolore durante la deglutizione,
broncopneumopatia cronica ostruttiva,C0024117,tosse,C0010200
broncopneumopatia cronica ostruttiva,C0024117,difficoltà nel respirare,C0231807
infezioni da pneumococco,,febbre,
infezioni da pneumococco,,sonnolenza,
infezioni da pneumococco,C0032269,polmonite,C0032285
infezioni da pneumococco,C0032269,meningite,C0025289
infezioni da pneumococco,C0032269,dolore all'orecchio,C0029882
infezioni da pneumococco,C0032269,sinusite,C0037199
infezioni da pneumococco,C0032269,congiuntivite,C0009763
infezioni da pneumococco,C0032269,occhi arrossati,C0010043
infezione da micoplasma,,brividi,
infezione da micoplasma,,febbre,
infezione da micoplasma,,fiato corto,
infezione da micoplasma,,produzione di muco,
infezione da micoplasma,,dolore durante la deglutizione,
infezione da micoplasma,,tosse,
infezione da micoplasma,C0026936,difficoltà nel respirare,C0040586
infezione da micoplasma,C0026936,polmonite,C0032285
infezione da chlamydia,,dolore e bruciore mentre si urina,
infezione da chlamydia,,prurito genitale,
infezione da chlamydia,C1096584,faringite,C0031350
infezione da chlamydia,C1096584,sinusite,C0037199
ornitosi,C0029291,debolezza,C0032285
ornitosi,C0029291,brividi,C0085593
ornitosi,,dolore al torace,
ornitosi,C0029291,febbre,C0015967
ornitosi,C0029291,dolori muscolari e articolari,C0231528
ornitosi,C0029291,mal di testa,C0018681
ornitosi,C0029291,sangue dal naso,C0014591
ornitosi,C0029291,tosse,C0010200
ornitosi,C0029291,macchie a rilievo sulla pelle,C0015230
ornitosi,C0029291,nausea e sazietà,C0038002
febbre q,C0034362,febbre,C0015967
febbre q,C0034362,mal di testa,C0018681
febbre q,C0034362,polmonite,C0032285
febbre q,C0034362,brividi,C0085593
febbre q,C0034362,dolori muscolari e articolari,C0231528
febbre q,C0034362,dolori articolari,C0003862
febbre q,C0034362,tosse secca,C0850149
febbre q,C0034362,macchie a rilievo sulla pelle,C0015230
febbre q,C0034362,"dolore al torace, mancanza di ossigeno",C0002962
infezione da bacillus anthracis,,dolore addominale,
infezione da bacillus anthracis,,diarrea,
infezione da bacillus anthracis,,sangue nelle feci,
infezione da bacillus anthracis,,vomito,
infezione da bacillus anthracis,,nausea,
infezione da bacillus anthracis,C0003175,broncopolmonite,C0006285
infezione da bacillus anthracis,C0003175,febbre,C0015967
infezione da bacillus anthracis,C0003175,brividi,C0085593
infezione da bacillus anthracis,C0003175,tosse,C0010200
infezione da bacillus anthracis,C0003175,sonnolenza,C0242184
infezioni da virus respiratorio sinciziale,C0035235,incapacità di percepire gli odori,C0009443
infezioni da virus respiratorio sinciziale,C0035235,faringite,C0031350
infezioni da virus respiratorio sinciziale,,brividi,
infezioni da virus respiratorio sinciziale,,febbre,
infezioni da virus respiratorio sinciziale,,fiato corto,
infezioni da virus respiratorio sinciziale,,produzione di muco,
infezioni da virus respiratorio sinciziale,C0035235,dolore durante la deglutizione,C0040586
infezioni da virus respiratorio sinciziale,C0035235,tosse,C0043167
infezioni da virus respiratorio sinciziale,C0035235,polmonite,C0032285
polmonite da pneumocystis,C1535939,difficoltà nel respirare,C0013404
polmonite da pneumocystis,C1535939,aumento della frequenza respiratoria,C0231835
polmonite da pneumocystis,C1535939,tosse,C0010200
polmonite da pneumocystis,C1535939,febbre,C0015967
sindrome di Mendelson,,oppressione toracica,
sindrome di Mendelson,C0085740,rantoli durante la respirazione,C0006266
sindrome di Mendelson,C0085740,voce rauca,C0392315
sindrome di Mendelson,C0085740,cianosi - colorito bluastro-violaceo di pelle,C0010520
sindrome di Mendelson,C0085740,difficoltà nel respirare,C0013404
sindrome di Mendelson,C0085740,tachicardia,C0039239
sindrome di Mendelson,C0085740,"vertigini, capogiri e confusione",C0020649
silicosi,,oppressione toracica,
silicosi,,fiato corto,
silicosi,,stanchezza,
silicosi,,cianosi - colorito bluastro-violaceo di pelle,
silicosi,C0037116,difficoltà nel respirare,C0231807
carcinoma bronchiale,C0007121,dolore al petto,C0008031
carcinoma bronchiale,C0007121,rientro del bulbo oculare,C0014306
carcinoma bronchiale,C0007121,debolezza alle gambe,C0011633
carcinoma bronchiale,C0007121,ingrossamento dell'ultima falange,C0009080
carcinoma bronchiale,C0007121,unghie fragili,C0149651
carcinoma bronchiale,C0007121,dolori articolari,C0003862
carcinoma bronchiale,C0007121,tosse,C0010200
carcinoma bronchiale,C0007121,senso di soffocamento,C0038450
carcinoma bronchiale,C0007121,sangue durante la tosse,C0019079
carcinoma bronchiale,C0007121,difficoltà nel deglutire,C0011168
carcinoma bronchiale,C0007121,perdita di peso,C2363736
carcinoma bronchiale,C0007121,tosse,C0010200
carcinoma bronchiale,C0007121,dolore al petto,C0008031
carcinoma bronchiale,C0007121,tosse cronica,C0010201
carcinoma bronchiale,C0007121,difficoltà nel respirare,C0013404
carcinoma bronchiale,C0007121,unghie fragili,C0149651
carcinoma bronchiale,C0007121,ingrossamento dell'ultima falange,C0009080
carcinoma bronchiale,C0007121,difficoltà nel deglutire,C0011168
carcinoma bronchiale,C0007121,raucedine,C0019825
carcinoma bronchiale,C0007121,dolore al petto,C0008031
carcinoma bronchiale,C0007121,perdita di peso,C2363736
carcinoma bronchiale,C0007121,tosse,C0010200
sarcoidosi,,affaticamento,
sarcoidosi,,perdita di peso,
sarcoidosi,,malessere generale,
sarcoidosi,C0036202,atrite,C0003864
sarcoidosi,C0036202,"arrossamento cutaneo, prurito",C0014743
sarcoidosi,C0036202,febbre,C0015967
sarcoidosi,C0036202,tosse,C0010200
acalasia,C1321756,difficoltà nel deglutire,C0011168
acalasia,C1321756,rigurgito,C2004489
acalasia,,eccessiva salivazione,
acalasia,,dolore al torace,
acalasia,C1321756,alito cattivo,C0018520
acalasia,C1321756,nausea e sazietà,C3714614
diverticolo esofageo,C0014854,dolore alla pressione,C0234233
diverticolo esofageo,C0014854,difficoltà nel deglutire,C0011168
diverticolo esofageo,C0014854,rigurgito,C2004489
diverticolo esofageo,C0014854,alito cattivo,C0018520
diverticolo esofageo,C0014854,perdita di saliva,C0267072
diverticolo esofageo,C0014854,rigurgito,C2004489
carcinoma gastrico,C0024623,anoressia,C0003123
carcinoma gastrico,C0024623,fegato ingrossato,C0019209
carcinoma gastrico,C0024623,ittero - pelle giallastra,C0022346
carcinoma gastrico,C0024623,accumulo di liquido nell'addome,C0003962
carcinoma gastrico,C0024623,perdita di peso,C2363736
carcinoma gastrico,C0024623,nausea,C0027497
carcinoma gastrico,C0024623,sensazione di pressione,C0234222
carcinoma gastrico,C0024623,stanchezza - fatica,C0015672
carcinoma gastrico,C0024623,difficoltà nel deglutire,C0011168
carcinoma gastrico,C0024623,vomito,C0042963
carcinoma gastrico,C0024623,perdita di peso,C0232462
sindrome da perdita di proteine,C0016470,orticaria,C0042109
sindrome da perdita di proteine,C0016470,prurito,C0033774
sindrome da perdita di proteine,C0016470,macchie a rilievo sulla pelle,C0015230
sindrome da perdita di proteine,C0016470,attacco d'asma,C0038218
sindrome da perdita di proteine,C0016470,starnuti,C0035455
sindrome da perdita di proteine,C0016470,incapacità di percepire gli odori,C0009443
sindrome da perdita di proteine,C0016470,ostruzione nasale,C0027429
sindrome da perdita di proteine,C0016470,tachicardia,C0039239
sindrome da perdita di proteine,C0016470,"vertigini, capogiri e confusione",C0020649
sindrome da perdita di proteine,C0302858,diarrea,C0011991
sindrome da perdita di proteine,C0302858,feci untuose,C0038238
sindrome da perdita di proteine,C0302858,perdita di peso,C2363736
sindrome da perdita di proteine,C0302858,feci untuose,C0024523
sindrome da perdita di proteine,C0302858,edema - accumulo di liquido,C0013604
sindrome da perdita di proteine,C0302858,liquido nella cavità pleurica,C0032227
sindrome da perdita di proteine,C0302858,accumulo di liquido nell'addome,C0003962
colite ulcerosa,,dolore anale,
colite ulcerosa,,sudorazione notturna,
colite ulcerosa,,sangue nelle feci,
colite ulcerosa,C0009324,diarrea,C0011991
colite ulcerosa,C0009324,anemia - pallore,C0002871
colite ulcerosa,C0009324,dolore addominale,C0000737
colite ulcerosa,C0009324,febbre,C0015967
colite microscopica,C0400821,diarrea,C0011991
colite microscopica,C0400821,perdita di peso,C2363736
colite microscopica,C0400821,dolore addominale,C0000737
colite microscopica,C0400821,nausea,C0027497
colite microscopica,C0400821,pancia gonfia,C1291077
intestino irritabile,C0022104,dolore al petto,C0030193
intestino irritabile,C0022104,sensazione di pressione,C0234222
intestino irritabile,C0022104,nausea e sazietà,C3714614
intestino irritabile,C0022104,pancia gonfia,C1291077
intestino irritabile,C0022104,flatulenza,C0016204
intestino irritabile,C0022104,costipazione,C0009806
intestino irritabile,C0022104,diarrea,C0011991
pancreatite acuta,C0001339,dolore addominale,C0000737
pancreatite acuta,C0001339,nausea,C0027497
pancreatite acuta,C0001339,vomito,C0042963
pancreatite acuta,C0001339,pancia gonfia,C1291077
pancreatite acuta,C0001339,accumulo di liquido nell'addome,C0003962
pancreatite acuta,C0001339,febbre,C0015967
pancreatite acuta,C0001339,"vertigini, capogiri e confusione",C0020649
pancreatite acuta,C0001339,liquido nella cavità pleurica,C0032227
pancreatite acuta,C0001339,ittero - pelle giallastra,C0022346
pancreatite acuta,C0001339,incapacità nel deglutire,C0919671
pancreatite cronica,C0149521,nausea,C0027497
pancreatite cronica,C0149521,vomito,C0042963
pancreatite cronica,C0149521,perdita di peso,C2363736
pancreatite cronica,C0149521,pancia gonfia,C1291077
pancreatite cronica,C0149521,diarrea,C0011991
pancreatite cronica,C0149521,ittero - pelle giallastra,C0022346
carcinoma neuroendocrino,C0206695,rossore,C0016382
carcinoma neuroendocrino,C0206695,cianosi - colorito bluastro-violaceo di pelle,C0010520
carcinoma neuroendocrino,C0206695,tachicardia,C0039239
carcinoma neuroendocrino,C0206695,sudore,C0038990
carcinoma neuroendocrino,C0206695,incapacità nel deglutire,C0919671
carcinoma neuroendocrino,C0206695,diarrea,C0011991
carcinoma neuroendocrino,C0206695,perdita di peso,C2363736
carcinoma neuroendocrino,C0206695,attacco d'asma,C0038218
carcinoma neuroendocrino,C0206695,capillari visibili,C0235499
carcinoma neuroendocrino,C0206695,cambiamenti nella pelle,C0478124
insulinoma,C0021670,sudore,C0038990
insulinoma,C0021670,palpitazioni,C0030252
insulinoma,C0021670,tachicardia,C0039239
insulinoma,C0021670,tremori,C0542247
insulinoma,C0021670,paura,C0003467
insulinoma,C0021670,aumento dell'appetito,C0006370
insulinoma,C0021670,nausea,C0027497
insulinoma,C0021670,disturbi alla vista,C0547030
insulinoma,C0021670,vertigini,C0012833
insulinoma,C0021670,mal di testa,C0018681
insulinoma,C0021670,confusione,C0009676
insulinoma,C0021670,perdita della sensibilità,C0852415
insulinoma,C0021670,difficoltà nel leggere,C0003537
insulinoma,C0021670,aumento di peso,C0043094
verner - sindrome di Morrison,C0086768,diarrea,C0011991
verner - sindrome di Morrison,C0086768,affaticamento,C0020621
verner - sindrome di Morrison,C0086768,bruciore di stomaco,C0079581
verner - sindrome di Morrison,C0086768,perdita di peso,C2363736
verner - sindrome di Morrison,C0086768,confusione,C0009676
"epatite, cronica",C0019189,affaticamento,C0015672
"epatite, cronica",C0019189,perdita di appetito,C0003123
"epatite, cronica",C0019189,dolore alla pressione,C0234233
"epatite, cronica",C0019189,dolori articolari,C0003862
"epatite, cronica",C0019189,ittero - pelle giallastra,C0022346
"epatite, cronica",C0019189,fegato ingrossato,C0019209
"epatite, cronica",C0019189,prurito,C0033774
"epatite, cronica",C0019189,capillari visibili,C0235499
"epatite, cronica",C0019189,assenza del ciclo,C0002453
"epatite, cronica",C0019189,atrofia testicolare,C0156312
"epatite, cronica",C0019189,ginecomastia,C0018418
malattia epatica alcolica,C0023896,fegato ingrossato,C0019209
malattia epatica alcolica,C0023896,nausea e sazietà,C0038002
malattia epatica alcolica,C0023896,perdita di appetito,C0003123
malattia epatica alcolica,C0023896,nausea,C0027497
malattia epatica alcolica,C0023896,perdita di peso,C2363736
malattia epatica alcolica,C0023896,ittero - pelle giallastra,C0022346
malattia epatica alcolica,C0023896,febbre,C0015967
"insufficienza epatica, acuta",C0162557,disturbi della coscienza,C0947927
"insufficienza epatica, acuta",C0162557,sonnolenza,C0013144
"insufficienza epatica, acuta",C0162557,coma,C0009421
"insufficienza epatica, acuta",C0162557,ittero - pelle giallastra,C0022346
"insufficienza epatica, acuta",C0162557,alito cattivo,C0239571
"insufficienza epatica, acuta",C0162557,tendenza al sanguinamento,C0019087
"insufficienza epatica, acuta",C0162557,"vertigini, capogiri e confusione",C0020649
"insufficienza epatica, acuta",C0162557,palpitazioni,C0020578
glomerulonefrite post-infettiva,C3805004,sangue nelle urine,C0239937
glomerulonefrite post-infettiva,C3805004,edema - accumulo di liquido,C0013604
glomerulonefrite post-infettiva,C3805004,pressione alta,C0020538
glomerulonefrite post-infettiva,C3805004,sangue nelle urine,C0018965
glomerulonefrite post-infettiva,C3805004,edema facciale,C0542571
glomerulonefrite post-infettiva,C3805004,mal di testa,C0018681
glomerulonefrite post-infettiva,C3805004,febbre,C0015967
glomerulonefrite post-infettiva,C3805004,attacco epilettico,C0014544
glomerulonefrite post-infettiva,C3805004,sonnolenza,C0013144
glomerulonefrite post-infettiva,C3805004,difficoltà nel respirare,C0013404
glomerulonefrite post-infettiva,C3805004,liquido nei polmoni,C0034063
glomerulonefrite post-infettiva,C3805004,urine schiumose,C0033687
sindrome nefritica rapida - progressiva,C0451728,lividi a chiazze,C0030232
sindrome nefritica rapida - progressiva,C0451728,pressione alta,C0020538
sindrome nefritica rapida - progressiva,C0451728,urine schiumose,C0033687
sindrome nefritica rapida - progressiva,C0451728,sindrome nefrosica,C0027726
sindrome nefritica rapida - progressiva,C0451728,insufficienza renale,C1565489
sindrome da osteopatia renale,,mal di schiena,
sindrome da osteopatia renale,,fatica,
sindrome da osteopatia renale,,capogiri,
sindrome da osteopatia renale,,sfoghi cutanei,
sindrome da osteopatia renale,C3805154,dolore alle ossa,C0151825
sindrome da osteopatia renale,C3805154,debolezza nelle braccia,C0947912
nefroblastoma,C0027708,dolore addominale,C0000737
nefroblastoma,C0027708,perdita di appetito,C0003123
nefroblastoma,C0027708,vomito,C0042963
nefroblastoma,C0027708,febbre,C0015967
nefroblastoma,C0027708,sangue nelle urine,C0018965
